Title,Title_URL,Image,Image1,Price,Price2,Price3,cartcontrolsaddcart,Avg_price
Monster Energy Ultra Rosa Multipack Cans 500ml X4 Pack,https://www.woolworths.com.au/shop/productdetails/143253/monster-energy-ultra-rosa-multipack-cans,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/143253.jpg?impolicy=wowsmkqiema&w=260&h=260,$8.65,$14.45,$4.33 / 1L, Add to cart , Save to list 
Monster Energy Juice Mango Loco 500ml X4 Pack,https://www.woolworths.com.au/shop/productdetails/708119/monster-energy-juice-mango-loco,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/708119.jpg?impolicy=wowsmkqiema&w=260&h=260,$8.65,$14.45,$4.33 / 1L, Add to cart , Save to list 
Monster Energy Green Multipack Cans 500ml X4 Pack,https://www.woolworths.com.au/shop/productdetails/361734/monster-energy-green-multipack-cans,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/361734.jpg?impolicy=wowsmkqiema&w=260&h=260,$8.65,$14.45,$4.33 / 1L, Add to cart , Save to list 
Monster Energy Ultra Multipack Cans 500ml X4 Pack,https://www.woolworths.com.au/shop/productdetails/511504/monster-energy-ultra-multipack-cans,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/511504.jpg?impolicy=wowsmkqiema&w=260&h=260,$8.65,$14.45,$4.33 / 1L, Add to cart , Save to list 
Woolworths Soda Water 1.25l,https://www.woolworths.com.au/shop/productdetails/756048/woolworths-soda-water,https://www.woolworths.com.au/content/promotiontags/final_only_at_woolworths_roundel_200x200.png,https://assets.woolworths.com.au/images/1005/756048.jpg?impolicy=wowsmkqiema&w=260&h=260,$1.10,,$0.88 / 1L, Add to cart , Save to list 
Woolworths Spring Water Bottles 600ml X24 Pack,https://www.woolworths.com.au/shop/productdetails/116784/woolworths-spring-water-bottles,,https://assets.woolworths.com.au/images/1005/116784.jpg?impolicy=wowsmkqiema&w=260&h=260,$9.75,,$0.68 / 1L, Add to cart , Save to list 
Woolworths Soda Water 1.25l,https://www.woolworths.com.au/shop/productdetails/799637/woolworths-soda-water,,https://assets.woolworths.com.au/images/1005/799637.jpg?impolicy=wowsmkqiema&w=260&h=260,,,,, Save to list 
Woolworths Spring Water 6x1.5l Bottles,https://www.woolworths.com.au/shop/productdetails/749792/woolworths-spring-water,https://www.woolworths.com.au/content/promotiontags/final_only_at_woolworths_roundel_200x200.png,https://assets.woolworths.com.au/images/1005/749792.jpg?impolicy=wowsmkqiema&w=260&h=260,$5.20,,$0.58 / 1L, Add to cart , Save to list 
Schweppes Soda Water 1.1l,https://www.woolworths.com.au/shop/productdetails/635960/schweppes-soda-water,https://www.woolworths.com.au/content/promotiontags/roundel-special-200x200.png,https://assets.woolworths.com.au/images/1005/635960.jpg?impolicy=wowsmkqiema&w=260&h=260,$1.50,$2.50,$1.36 / 1L, Add to cart , Save to list 
Woolworths Sparkling Mineral Water 1.25l,https://www.woolworths.com.au/shop/productdetails/756076/woolworths-sparkling-mineral-water,,https://assets.woolworths.com.au/images/1005/756076.jpg?impolicy=wowsmkqiema&w=260&h=260,$1.10,,$0.88 / 1L, Add to cart , Save to list 
