Title,Title_URL,Image,Price,Price1,Content,rating,cartcontrolsaddcart,Avg_price
Ben & Jerry's Triple Caramel Chunk Ice Cream 458ml,https://www.woolworths.com.au/shop/productdetails/348629/ben-jerry-s-triple-caramel-chunk-ice-cream,https://assets.woolworths.com.au/images/1005/348629.jpg?impolicy=wowsmkqiema&w=260&h=260,$14.50,$3.17 / 100ML,4.3,9, Add to cart , Save to list 
Blue Ribbon Delicious Duo Berry Passion Pavlova 2l,https://www.woolworths.com.au/shop/productdetails/243147/blue-ribbon-delicious-duo-berry-passion-pavlova,https://assets.woolworths.com.au/images/1005/243147.jpg?impolicy=wowsmkqiema&w=260&h=260,$10.00,$0.50 / 100ML,,, Add to cart , Save to list 
Ben & Jerry's Ice Cream Chocolate Chip Cookie Dough 458ml Tub,https://www.woolworths.com.au/shop/productdetails/345039/ben-jerry-s-ice-cream-chocolate-chip-cookie-dough,https://assets.woolworths.com.au/images/1005/345039.jpg?impolicy=wowsmkqiema&w=260&h=260,$14.50,$3.17 / 100ML,4.4,9, Add to cart , Save to list 
Ben & Jerry's Cookie Dough S'wich Up Ice Cream Tub 458ml,https://www.woolworths.com.au/shop/productdetails/134671/ben-jerry-s-cookie-dough-s-wich-up-ice-cream-tub,https://assets.woolworths.com.au/images/1005/134671.jpg?impolicy=wowsmkqiema&w=260&h=260,$14.50,$3.17 / 100ML,,, Add to cart , Save to list 
Bell Farms Chopped Spinach 250g,https://www.woolworths.com.au/shop/productdetails/516857/bell-farms-chopped-spinach,https://assets.woolworths.com.au/images/1005/516857.jpg?impolicy=wowsmkqiema&w=260&h=260,$0.95,$3.80 / 1KG,4.5,514, Add to cart , Save to list 
Woolworths Potato Wedges 750g,https://www.woolworths.com.au/shop/productdetails/693777/woolworths-potato-wedges,https://assets.woolworths.com.au/images/1005/693777.jpg?impolicy=wowsmkqiema&w=260&h=260,,,4.5,716,, Save to list 
Four'n Twenty Sausage Roll Jumbo 6 Pack,https://www.woolworths.com.au/shop/productdetails/26955/four-n-twenty-sausage-roll-jumbo,https://assets.woolworths.com.au/images/1005/26955.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.50,$1.07 / 100G,4.2,46, Add to cart , Save to list 
Ingham's Frozen Turkey Ready To Roast Traditional 1kg,https://www.woolworths.com.au/shop/productdetails/41929/ingham-s-frozen-turkey-ready-to-roast-traditional,https://assets.woolworths.com.au/images/1005/41929.jpg?impolicy=wowsmkqiema&w=260&h=260,$18.00,$18.00 / 1KG,4.7,149, Add to cart , Save to list 
Woolworths Party Sausage Rolls 24 Pack,https://www.woolworths.com.au/shop/productdetails/621329/woolworths-party-sausage-rolls,https://assets.woolworths.com.au/images/1005/621329.jpg?impolicy=wowsmkqiema&w=260&h=260,$6.50,$0.72 / 100G,4.6,33, Add to cart , Save to list 
Ho Mai Spring Rolls Cocktail 1kg,https://www.woolworths.com.au/shop/productdetails/259537/ho-mai-spring-rolls-cocktail,https://assets.woolworths.com.au/images/1005/259537.jpg?impolicy=wowsmkqiema&w=260&h=260,$10.00,$1.00 / 100G,4.6,94, Add to cart , Save to list 
Blue Ribbon Delicious Duo Caramel Hokey Pokey 2l,https://www.woolworths.com.au/shop/productdetails/243485/blue-ribbon-delicious-duo-caramel-hokey-pokey,https://assets.woolworths.com.au/images/1005/243485.jpg?impolicy=wowsmkqiema&w=260&h=260,$10.00,$0.50 / 100ML,,, Add to cart , Save to list 
Ben & Jerry's Half Baked Ice Cream 458ml,https://www.woolworths.com.au/shop/productdetails/348630/ben-jerry-s-half-baked-ice-cream,https://assets.woolworths.com.au/images/1005/348630.jpg?impolicy=wowsmkqiema&w=260&h=260,$14.50,$3.17 / 100ML,4.0,6, Add to cart , Save to list 
Ben & Jerry's Ice Cream Chocolate Fudge Brownie 458ml Tub,https://www.woolworths.com.au/shop/productdetails/345040/ben-jerry-s-ice-cream-chocolate-fudge-brownie,https://assets.woolworths.com.au/images/1005/345040.jpg?impolicy=wowsmkqiema&w=260&h=260,$14.50,$3.17 / 100ML,4.6,18, Add to cart , Save to list 
Ben & Jerry's Ice Cream The Tonight Dough Starring Jimmy Fallon 458ml Tub,https://www.woolworths.com.au/shop/productdetails/441151/ben-jerry-s-ice-cream-the-tonight-dough-starring-jimmy-fallon,https://assets.woolworths.com.au/images/1005/441151.jpg?impolicy=wowsmkqiema&w=260&h=260,$14.50,$3.17 / 100ML,5.0,7, Add to cart , Save to list 
Mccain Pub Style Potato Wedges 750g,https://www.woolworths.com.au/shop/productdetails/53205/mccain-pub-style-potato-wedges,https://assets.woolworths.com.au/images/1005/53205.jpg?impolicy=wowsmkqiema&w=260&h=260,,,4.6,30,, Save to list 
Steggles Chicken Breast Fingers 1kg,https://www.woolworths.com.au/shop/productdetails/508730/steggles-chicken-breast-fingers,https://assets.woolworths.com.au/images/1005/508730.jpg?impolicy=wowsmkqiema&w=260&h=260,$13.00,$13.00 / 1KG,4.7,66, Add to cart , Save to list 
Ocean Chef Salmon Portions Skin On 1kg,https://www.woolworths.com.au/shop/productdetails/763541/ocean-chef-salmon-portions-skin-on,https://assets.woolworths.com.au/images/1005/763541.jpg?impolicy=wowsmkqiema&w=260&h=260,$29.50,$29.50 / 1KG,,, Add to cart , Save to list 
Mccain Superfries Shoestring 900g,https://www.woolworths.com.au/shop/productdetails/662937/mccain-superfries-shoestring,https://assets.woolworths.com.au/images/1005/662937.jpg?impolicy=wowsmkqiema&w=260&h=260,$4.50,$5.00 / 1KG,4.5,94, Add to cart , Save to list 
Four'n Twenty Sausage Roll Party 500g,https://www.woolworths.com.au/shop/productdetails/88267/four-n-twenty-sausage-roll-party,https://assets.woolworths.com.au/images/1005/88267.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.00,$1.40 / 100G,4.3,37, Add to cart , Save to list 
Weis Ice Cream & Fruit Bar Mango & Cream 70ml X 4 Pack,https://www.woolworths.com.au/shop/productdetails/178953/weis-ice-cream-fruit-bar-mango-cream,https://assets.woolworths.com.au/images/1005/178953.jpg?impolicy=wowsmkqiema&w=260&h=260,,,5.0,27,, Save to list 
Woolworths Winter Veg Mix 1kg,https://www.woolworths.com.au/shop/productdetails/768567/woolworths-winter-veg-mix,https://assets.woolworths.com.au/images/1005/768567.jpg?impolicy=wowsmkqiema&w=260&h=260,,,4.2,771,, Save to list 
Patties Sausage Roll Party 450g,https://www.woolworths.com.au/shop/productdetails/30748/patties-sausage-roll-party,https://assets.woolworths.com.au/images/1005/30748.jpg?impolicy=wowsmkqiema&w=260&h=260,$7.50,$1.67 / 100G,4.0,39, Add to cart , Save to list 
Just Caught Atlantic Salmon Skinless 1kg,https://www.woolworths.com.au/shop/productdetails/891961/just-caught-atlantic-salmon-skinless,https://assets.woolworths.com.au/images/1005/891961.jpg?impolicy=wowsmkqiema&w=260&h=260,$32.00,$32.00 / 1KG,5.0,1, Add to cart , Save to list 
Woolworths Frozen Strawberries 500g,https://www.woolworths.com.au/shop/productdetails/777899/woolworths-frozen-strawberries,https://assets.woolworths.com.au/images/1005/777899.jpg?impolicy=wowsmkqiema&w=260&h=260,$6.20,$12.40 / 1KG,4.6,108, Add to cart , Save to list 
Mccain Beer Batter Wedges 750g,https://www.woolworths.com.au/shop/productdetails/249344/mccain-beer-batter-wedges,https://assets.woolworths.com.au/images/1005/249344.jpg?impolicy=wowsmkqiema&w=260&h=260,,,4.3,34,, Save to list 
Macro Organic Chopped Spinach Leaf Portions 450g,https://www.woolworths.com.au/shop/productdetails/817500/macro-organic-chopped-spinach-leaf-portions,https://assets.woolworths.com.au/images/1005/817500.jpg?impolicy=wowsmkqiema&w=260&h=260,,,4.6,285,, Save to list 
Marathon Spring Rolls 4 Pack,https://www.woolworths.com.au/shop/productdetails/765590/marathon-spring-rolls,https://assets.woolworths.com.au/images/1005/765590.jpg?impolicy=wowsmkqiema&w=260&h=260,$6.50,$1.02 / 100G,4.5,48, Add to cart , Save to list 
Weight Watchers Classic Beef Bolognese Frozen Meal 320g,https://www.woolworths.com.au/shop/productdetails/694683/weight-watchers-classic-beef-bolognese-frozen-meal,https://assets.woolworths.com.au/images/1005/694683.jpg?impolicy=wowsmkqiema&w=260&h=260,$4.00,$1.25 / 100G,4.3,23, Add to cart , Save to list 
"Birds Eye Steam Fresh Broccoli, Carrots & Corn 750g",https://www.woolworths.com.au/shop/productdetails/322796/birds-eye-steam-fresh-broccoli-carrots-corn,https://assets.woolworths.com.au/images/1005/322796.jpg?impolicy=wowsmkqiema&w=260&h=260,$5.50,$7.33 / 1KG,4.8,76, Add to cart , Save to list 
Trang's Pastry Spring Roll Sheets 300g,https://www.woolworths.com.au/shop/productdetails/40920/trang-s-pastry-spring-roll-sheets,https://assets.woolworths.com.au/images/1005/40920.jpg?impolicy=wowsmkqiema&w=260&h=260,$2.90,$0.97 / 100G,4.4,20, Add to cart , Save to list 
"Heinz Steam Fresh Vegetables Frozen Veg Carrots, Corn & Broccoli 450g",https://www.woolworths.com.au/shop/productdetails/211190/heinz-steam-fresh-vegetables-frozen-veg-carrots-corn-broccoli,https://assets.woolworths.com.au/images/1005/211190.jpg?impolicy=wowsmkqiema&w=260&h=260,$3.40,$7.56 / 1KG,4.7,65, Add to cart , Save to list 
Street Foodie Cocktails Spring Rolls 430g,https://www.woolworths.com.au/shop/productdetails/160240/street-foodie-cocktails-spring-rolls,https://assets.woolworths.com.au/images/1005/160240.jpg?impolicy=wowsmkqiema&w=260&h=260,$6.50,$1.51 / 100G,,, Add to cart , Save to list 
Herbert Adams Sausage Rolls King Island Beef Frozen 12 Pack,https://www.woolworths.com.au/shop/productdetails/767356/herbert-adams-sausage-rolls-king-island-beef-frozen,https://assets.woolworths.com.au/images/1005/767356.jpg?impolicy=wowsmkqiema&w=260&h=260,$9.50,$2.26 / 100G,4.6,22, Add to cart , Save to list 
Patties Party Pack Mini Pies & Sausage Rolls 1kg,https://www.woolworths.com.au/shop/productdetails/147700/patties-party-pack-mini-pies-sausage-rolls,https://assets.woolworths.com.au/images/1005/147700.jpg?impolicy=wowsmkqiema&w=260&h=260,$16.90,$1.69 / 100G,4.3,86, Add to cart , Save to list 
Steggles Crumbed Chicken Dino Snacks Tempura 1kg,https://www.woolworths.com.au/shop/productdetails/383909/steggles-crumbed-chicken-dino-snacks-tempura,https://assets.woolworths.com.au/images/1005/383909.jpg?impolicy=wowsmkqiema&w=260&h=260,$13.00,$13.00 / 1KG,4.8,93, Add to cart , Save to list 
Borg's Pastizzis Triangles Spinach & Ricotta 360g,https://www.woolworths.com.au/shop/productdetails/177218/borg-s-pastizzis-triangles-spinach-ricotta,https://assets.woolworths.com.au/images/1005/177218.jpg?impolicy=wowsmkqiema&w=260&h=260,$4.00,$1.11 / 100G,4.4,60, Add to cart , Save to list 
Woolworths Chicken Breast Crumbed Tenders 400g,https://www.woolworths.com.au/shop/productdetails/733773/woolworths-chicken-breast-crumbed-tenders,https://assets.woolworths.com.au/images/1005/733773.jpg?impolicy=wowsmkqiema&w=260&h=260,$4.50,$11.25 / 1KG,4.4,1215, Add to cart , Save to list 
Woolworths Party Pies 24 Pack,https://www.woolworths.com.au/shop/productdetails/621328/woolworths-party-pies,https://assets.woolworths.com.au/images/1005/621328.jpg?impolicy=wowsmkqiema&w=260&h=260,$6.00,$0.54 / 100G,4.6,84, Add to cart , Save to list 
Mccain Hash Browns Shredded 750g,https://www.woolworths.com.au/shop/productdetails/98299/mccain-hash-browns-shredded,https://assets.woolworths.com.au/images/1005/98299.jpg?impolicy=wowsmkqiema&w=260&h=260,$4.50,$6.00 / 1KG,4.5,61, Add to cart , Save to list 
Weight Watchers Classic Mushroom & Pumpkin Risotto Frozen Meal 320g,https://www.woolworths.com.au/shop/productdetails/694689/weight-watchers-classic-mushroom-pumpkin-risotto-frozen-meal,https://assets.woolworths.com.au/images/1005/694689.jpg?impolicy=wowsmkqiema&w=260&h=260,$4.00,$1.25 / 100G,3.9,11, Add to cart , Save to list 
